di,wi,data_response
2000,1000,500
2000,1000,500
2000,1000,500
2000,1000,500
2000,1000,500
2000,1000,500
2000,1000,500
2000,1000,500
2000,1000,500
2000,1000,500
2000,1000,500
2000,1000,500
2000,1000,500
2000,1000,500
2000,1000,500
2000,1000,500
2000,1000,500
2000,1000,500
2000,1000,500
2000,1000,500
2000,1000,500
2000,1000,500
2000,1000,500
2000,1000,500
2000,1000,500
2000,1000,500
2000,1000,500
2000,1000,500
2000,1000,500
2000,1000,500
2000,1000,500
2000,1000,500
2000,1000,500
2000,1000,500
2000,1000,500
2000,1000,500
2000,1000,500
2000,1000,500
2000,1000,500
2000,1000,500
2000,1000,500
2000,1000,500
2000,1000,500
2000,1000,500
2000,1000,500
2000,1000,500
2000,1000,500
2000,1000,500
2000,1000,500
2000,1000,500
2000,1000,500
2000,1000,500
2000,1000,500
2000,1000,500
2000,1000,500
2000,1000,500
2000,1000,500
2000,1000,500
2000,1000,500
2000,1000,500
2000,1000,500
2000,1000,500
2000,1000,500
2000,1000,500
2000,1000,500
2000,1000,500
2000,1000,500
2000,1000,500
2000,1000,500
2000,1000,500
2000,1000,500
2000,1000,500
2000,1000,500
2000,1000,500
2000,1000,500
2000,1000,500
2000,1000,500
2000,1000,500
2000,1000,500
2000,1000,500
2000,1000,500
2000,1000,500
2000,1000,500
2000,1000,500
2000,1000,500
2000,1000,500
2000,1000,500
2000,1000,500
2000,1000,500
2000,1000,500
2000,1000,500
2000,1000,500
2000,1000,500
2000,1000,500
2000,1000,500
2000,1000,500
2000,1000,500
2000,1000,500
2000,1000,500
2000,1000,500
